source,instance,n,cell,seed,k,travel_sec,relleno_sec,msf_k_sec,relleno_msf_sec,ub_k_sec,relleno_ub_sec
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n200,200,feasible-floor-b060-stops10,4,4,7877,4399,4541,3336,6202,1675
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n200,200,feasible-floor-b060-stops10,5,4,7876,4398,4541,3335,6202,1674
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n400,400,feasible-floor-b060-stops10,1,6,12900,7368,7477,5423,10303,2597
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n400,400,feasible-floor-b060-stops10,2,6,12857,7325,7477,5380,10303,2554
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n400,400,feasible-floor-b060-stops10,3,6,13451,7919,7477,5974,10303,3148
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n400,400,feasible-floor-b060-stops10,4,6,13141,7609,7477,5664,10303,2838
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n400,400,feasible-floor-b060-stops10,5,6,12757,7225,7477,5280,10303,2454
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n800,800,feasible-floor-b060-stops10,1,12,22155,13192,12392,9763,,
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n800,800,feasible-floor-b060-stops10,2,12,22360,13397,12392,9968,,
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n800,800,feasible-floor-b060-stops10,3,12,21519,12556,12392,9127,,
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n800,800,feasible-floor-b060-stops10,4,12,24183,15220,12392,11791,,
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n800,800,feasible-floor-b060-stops10,5,12,23988,15025,12392,11596,,
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n1000,1000,feasible-floor-b060-stops10,1,15,27035,16083,15438,11597,,
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n1000,1000,feasible-floor-b060-stops10,2,15,26863,15911,15438,11425,,
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n1000,1000,feasible-floor-b060-stops10,3,14,28193,17230,15529,12664,,
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n1000,1000,feasible-floor-b060-stops10,4,15,27447,16495,15438,12009,,
sweep-metrology-20260720-h2h-feasible-floor-b060-stops10.csv,battery-n1000,1000,feasible-floor-b060-stops10,5,14,27204,16241,15529,11675,,
