source,instance,n,cell,seed,k,travel_sec,relleno_sec,msf_k_sec,relleno_msf_sec
route-config-algorithm-sweep-20260718.csv,area-29-n43,43,upper-tmax-tmin9000,2,1,3821,3433,789,3032
route-config-algorithm-sweep-20260718.csv,area-29-n43,43,upper-tmax-tmin9000,3,1,3821,3433,789,3032
route-config-algorithm-sweep-20260718.csv,area-29-n43,43,tmin-scaled,1,2,935,556,685,250
route-config-algorithm-sweep-20260718.csv,area-29-n43,43,tmin-scaled,2,2,935,556,685,250
route-config-algorithm-sweep-20260718.csv,area-29-n43,43,tmin-scaled,3,2,935,556,685,250
route-config-algorithm-sweep-20260718.csv,area-29-n43,43,service-floor,1,1,999,611,789,210
route-config-algorithm-sweep-20260718.csv,area-29-n43,43,service-floor,2,1,999,611,789,210
route-config-algorithm-sweep-20260718.csv,area-29-n43,43,service-floor,3,1,999,611,789,210
route-config-algorithm-sweep-20260718.csv,area-29-n43,43,tmin-scaled+exempt-last,1,2,895,516,685,210
route-config-algorithm-sweep-20260718.csv,area-29-n43,43,tmin-scaled+exempt-last,2,2,895,516,685,210
route-config-algorithm-sweep-20260718.csv,area-29-n43,43,tmin-scaled+exempt-last,3,2,895,516,685,210
route-config-algorithm-sweep-20260718.csv,area-29-n43,43,span-c100,1,1,2022,1634,789,1233
route-config-algorithm-sweep-20260718.csv,area-29-n43,43,span-c100,2,1,2022,1634,789,1233
route-config-algorithm-sweep-20260718.csv,area-29-n43,43,span-c100,3,1,2022,1634,789,1233
route-config-algorithm-sweep-20260718.csv,area-29-n43,43,global,1,1,2023,1635,789,1234
route-config-algorithm-sweep-20260718.csv,area-29-n43,43,global,2,1,2023,1635,789,1234
route-config-algorithm-sweep-20260718.csv,area-29-n43,43,global,3,1,2023,1635,789,1234
route-config-algorithm-sweep-20260718.csv,area-29-n43,43,greedy,1,1,1007,619,789,218
route-config-algorithm-sweep-20260718.csv,area-29-n43,43,greedy,2,1,1007,619,789,218
route-config-algorithm-sweep-20260718.csv,area-29-n43,43,greedy,3,1,1007,619,789,218
route-config-algorithm-sweep-20260718.csv,reference-n1607,1607,actual,1,25,60566,33510,30823,29743
route-config-algorithm-sweep-20260718.csv,reference-n1607,1607,actual,2,25,60566,33510,30823,29743
